#RESOURCE=yCat_22250032
#Name: J/ApJS/225/32
#Title: Extended abundance analysis of cool stars (Brewer+, 2016)
#Table	J_ApJS_225_32_stars:
#Name: J/ApJS/225/32/stars
#Title: Spectroscopically determined  stellar properties , abundances  an derived parameters  for the 1615 F, G, and K stars
#Column	SPOCS	(I4)	[2/3247] SPOCS ID (G1)	[ucd=meta.id;meta.main]
#Column	Name	(a14)	Star name	[ucd=meta.id]
#Column	Teff	(I4)	[4702/6773] Stellar effective temperature	[ucd=phys.temperature.effective]
#Column	logg	(F5.2)	[2.6/5] Stellar surface gravity	[ucd=phys.gravity]
#Column	[M/H]	(F5.2)	[-1.2/0.6] Stellar metallicity	[ucd=phys.abund.Z]
#Column	S	(F6.2)	[-1.9/540] Mount Wilson Ca HK activity index	[ucd=meta.code;spect.index]
#Column	logRhk	(F5.2)	[-6.3/-1.7]? log(R'HK) activity index	[ucd=spect.index]
#Column	Vbr	(F4.1)	[0.6/25] Derived velocity broadening	[ucd=spect.line.broad]
#Column	Vsini	(F4.1)	[0/20.1] Derived projected rotational velocity	[ucd=phys.veloc.rotat]
#Column	Vmac	(F4.1)	[1.6/23.3] Derived macroturbulent velocity	[ucd=phys.veloc]
#Column	Vrad	(F6.1)	[-137/164] Barycentric radial velocity at time of observation	[ucd=phys.veloc;pos.barycenter]
#Column	SNR	(I3)	[14/492] Signal to Noise ratio at 6000 Angstroms	[ucd=stat.snr]
#Column	Crms	(F5.2)	[0.01/0.3] RMS scatter in continuum	[ucd=stat.error]
#Column	Lrms	(F5.2)	[0.01/0.1] RMS scatter in line	[ucd=stat.error]
#Column	N	(I2)	[1/23] Number of spectra fit for that star	[ucd=meta.number]
#Column	[Fe/H]	(F5.2)	[-1.2/0.6]? Derived [Fe/H] abundance	[ucd=phys.abund.Fe]
#Column	RAJ2000	(A10)	SIMBAD Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	SIMBAD Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	[1.7/10.1]? V magnitude from SIMBAD	[ucd=phot.mag;em.opt.V]
#Column	Dist	(F6.2)	[3.6/353]? Distance from SIMBAD	[ucd=pos.distance;pos.heliocentric]
#Column	logL	(F5.2)	[-0.8/1.8]? Derived Stellar Luminosity (1)	[ucd=phys.luminosity]
#Column	e_logL	(F5.2)	[0.01/1.1]? Uncertainty in logL (1)	[ucd=stat.error]
#Column	Rstar	(F5.2)	[0.6/10]? Derived Stellar Radius (1)	[ucd=phys.size.radius]
#Column	e_Rstar	(F5.2)	[0.02/4]? Uncertainty in Rstar (1)	[ucd=stat.error]
#Column	Mstar	(F6.2)	[0.2/7]? Derived Stellar Mass (1)	[ucd=phys.mass]
#Column	e_Mstar	(F6.2)	[0.03/14]? Uncertainty in Mstar (1)	[ucd=stat.error]
#Column	Miso	(F5.2)	[0.6/3]? Isochrone derived stellar mass (2)	[ucd=phys.mass]
#Column	logg2	(F5.2)	[1.6/5]? Isochrone derived surface gravity (2)	[ucd=phys.gravity]
#Column	e_logg2	(F5.2)	[0.01/0.3]? Uncertainty in logg-iso (2)	[ucd=stat.error]
#Column	Age	(F4.1)	[0.6/15]? Isochrone derived age (2)	[ucd=time.age]
#Column	CCat	(I3)	Display data from Isaacson+, 2010, J/ApJ/725/875, within 1" [NULL integer written as an empty string]	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
SPOCS	Name	Teff	logg	[M/H]	S	logRhk	Vbr	Vsini	Vmac	Vrad	SNR	Crms	Lrms	N	[Fe/H]	RAJ2000	DEJ2000	Vmag	Dist	logL	e_logL	Rstar	e_Rstar	Mstar	e_Mstar	Miso	logg2	e_logg2	Age	CCat	Simbad
2903	HD 136513     	4841	 3.02	-0.13	  0.12	-5.26	 3.7	 1.2	 3.4	 -59.9	264	 0.01	 0.02	 1	-0.11	15 20 51.9	+07 40 58	 8.23	170.07	 1.20	 0.13	 5.64	 0.83	  1.22	  0.39	 1.08	 2.98	 0.11	 7.4	  1	Simbad
2904	HD 137368     	4830	 3.25	-0.07	  0.12	-5.29	 3.7	 1.1	 3.4	  -8.2	263	 0.01	 0.02	 1	-0.13	15 24 18.5	+38 11 16	 7.57	 97.18	 0.98	 0.06	 4.41	 0.30	  1.25	  0.23	 1.01	 3.15	 0.07	10.5	  1	Simbad
2905	HD 139907     	5865	 4.28	 0.32	  0.17	-4.96	 4.3	 1.6	 3.9	 -32.1	304	 0.01	 0.01	 1	 0.32	15 39 03.2	+43 52 00	 8.65	 82.10	 0.28	 0.06	 1.34	 0.09	  1.25	  0.22	 1.19	 4.28	 0.07	 3.2	  1	Simbad
2906	HD 140025     	5524	 3.89	 0.17	  0.32	-4.57	 4.2	 1.6	 3.9	  29.1	249	 0.01	 0.01	 1	 0.19	15 39 45.2	+44 18 40	 8.21	116.14	 0.79	 0.06	 2.70	 0.19	  2.03	  0.38	 1.43	 3.74	 0.05	 3.6	  1	Simbad
2907	HD 141399     	5539	 4.18	 0.32	  0.16	-5.02	 3.8	 2.5	 2.7	 -22.6	279	 0.01	 0.01	 3	 0.33	15 46 53.8	+46 59 11	 7.21	 36.17	 0.17	 0.02	 1.32	 0.04	  0.96	  0.13	 1.08	 4.24	 0.02	 7.1	  1	Simbad
2908	HD 141272     	5274	 4.48	-0.05	  0.43	-4.44	 4.2	 3.5	 2.1	 -28.5	375	 0.01	 0.01	 1	 0.00	15 48 09.5	+01 34 18	 7.44	 21.29	-0.35	 0.02	 0.80	 0.03	  0.69	  0.09	 0.87	 4.56	 0.03	 4.4	  1	Simbad
2909	HD 142091     	4871	 3.26	 0.20	  0.12	-5.31	 3.8	 1.7	 3.4	 -24.9	282	 0.01	 0.02	 2	 0.24	15 51 13.9	+35 39 27	 4.79	 30.50	 1.08	 0.02	 4.85	 0.15	  1.55	  0.21	 1.50	 3.24	 0.05	 3.0	  1	Simbad
2910	HD 142626     	5199	 4.56	-0.13	  0.31	-4.65	 2.4	 1.0	 2.0	   8.2	364	 0.01	 0.01	 1	-0.12	15 53 04.5	+53 52 16	 8.28	 29.43	-0.40	 0.03	 0.78	 0.03	  0.80	  0.11	 0.82	 4.57	 0.03	 7.0	  1	Simbad
2911	HD 143174     	5950	 4.49	 0.15	  0.26	-4.62	 4.4	 0.8	 4.4	 -44.3	254	 0.01	 0.01	 4	 0.18	15 57 37.1	+32 24 33	 8.65	 62.19	 0.04	 0.05	 0.99	 0.06	  1.10	  0.19	 1.13	 4.44	 0.03	 1.1	  1	Simbad
2912	WASP-17       	6548	 4.18	-0.08	  0.12	     	12.4	 5.9	10.8	 -49.0	 81	 0.02	 0.02	 1	-0.01	15 59 50.9	-28 03 42	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2913	EPIC204221263 	5679	 4.32	 0.23	  0.12	     	 3.6	 1.5	 3.1	 -38.3	 90	 0.02	 0.02	 2	 0.23	16 00 08.1	-23 11 21	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2914	XO-1          	5729	 4.49	-0.08	  0.17	     	 4.0	 2.1	 3.3	   2.4	121	 0.01	 0.01	 1	-0.07	16 02 11.8	+28 10 10	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2915	HD 144287     	5352	 4.45	-0.09	  0.16	-5.03	 2.7	 1.2	 2.3	 -51.2	370	 0.01	 0.01	 1	-0.11	16 04 03.7	+25 15 17	 7.10	 22.22	-0.19	 0.03	 0.94	 0.03	  0.90	  0.12	 0.86	 4.44	 0.03	12.1	  1	Simbad
2916	HD 144363     	4930	 3.34	-0.04	  0.14	-5.21	 3.4	 0.1	 3.4	   6.5	265	 0.01	 0.01	 1	-0.04	16 05 44.7	-07 05 05	 8.23	141.44	 1.02	 0.12	 4.45	 0.64	  1.57	  0.49	 1.24	 3.25	 0.11	 4.9	  1	Simbad
2917	HD 144872     	4780	 4.52	-0.26	  0.36	-4.71	 2.1	 1.2	 1.6	  24.2	274	 0.01	 0.02	 1	-0.26	16 06 29.6	+38 37 56	 8.58	 23.50	-0.64	 0.03	 0.70	 0.02	  0.59	  0.08	 0.72	 4.64	 0.02	10.3	  0	Simbad
2918	EPIC203771098 	5625	 4.29	 0.35	  0.12	     	 3.7	 2.2	 3.0	  -1.4	 83	 0.02	 0.02	 2	 0.34	16 10 17.7	-24 59 25	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2919	HIP 79308     	5525	 4.49	-0.16	  0.20	-4.82	 2.9	 0.6	 2.7	 -51.9	353	 0.01	 0.01	 1	-0.17	16 11 08.4	+47 32 32	 8.31	 39.06	-0.19	 0.03	 0.87	 0.03	  0.86	  0.12	 0.90	 4.51	 0.04	 5.4	  1	Simbad
2920	HD 145428     	4779	 3.13	-0.09	  0.13	-5.29	 3.6	 0.7	 3.4	  -1.1	270	 0.01	 0.02	 1	-0.16	16 11 51.3	-25 53 01	 7.73	131.23	 1.18	 0.09	 5.70	 0.63	  1.61	  0.40	 1.02	 2.93	 0.09	 9.7	  1	Simbad
2921	HD 145958 A   	5414	 4.48	-0.05	  0.17	-4.97	 3.0	 1.6	 2.4	  17.2	310	 0.01	 0.01	 3	-0.05	16 13 18.5	+13 31 37	 6.68	 23.58	 0.03	 0.03	 1.17	 0.05	  1.51	  0.21	 0.90	 4.29	 0.03	13.8	  2	Simbad
2922	HD 146278     	4790	 3.03	 0.05	  0.14	-5.23	 3.7	 1.4	 3.4	  10.1	268	 0.01	 0.02	 1	 0.08	16 13 51.4	+40 20 56	 7.98	165.02	 1.28	 0.08	 6.35	 0.63	  1.55	  0.36	 1.30	 2.96	 0.08	 4.4	  1	Simbad
2923	HD 146050     	5632	 4.15	 0.31	  0.16	-5.06	 4.2	 2.8	 3.0	  -1.0	274	 0.01	 0.01	 1	 0.30	16 14 16.1	-03 28 25	 7.97	 57.80	 0.27	 0.06	 1.43	 0.10	  1.04	  0.19	 1.12	 4.19	 0.07	 6.4	  1	Simbad
2924	WASP38        	6124	 4.11	 0.04	  0.13	     	10.3	 7.7	 5.6	 -10.5	216	 0.01	 0.01	 1	 0.06	16 15 50.4	+10 01 57	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2925	HIP 80096     	4989	 4.45	 0.23	540.00	-1.81	 2.0	 0.2	 1.8	 -73.9	269	 0.01	 0.02	 1	 0.25	16 21 00.3	+19 21 37	 9.11	 40.77	-0.41	 0.04	 0.83	 0.04	  0.71	  0.11	 0.84	 4.54	 0.04	 9.5	  1	Simbad
2926	EPIC204129699 	5340	 4.45	 0.15	  0.30	-6.12	 3.6	 2.8	 2.3	  -6.4	 83	 0.02	 0.02	 2	 0.18	16 21 45.8	-23 32 52	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2927	HD 147750     	5491	 4.52	-0.14	  0.18	-4.94	 2.9	 0.9	 2.6	 -37.3	348	 0.01	 0.01	 1	-0.14	16 23 06.1	+17 28 08	 8.44	 39.68	-0.23	 0.04	 0.85	 0.04	  0.87	  0.13	 0.90	 4.53	 0.04	 4.5	  1	Simbad
2928	HD 147752     	5051	 4.51	-0.04	  0.53	-4.45	 3.3	 2.7	 1.9	 -35.0	259	 0.01	 0.01	 1	 0.02	16 23 49.9	-02 58 30	 9.25	 41.93	-0.45	 0.06	 0.77	 0.06	  0.71	  0.13	 0.81	 4.58	 0.04	 7.6	  1	Simbad
2929	HD 148164     	6032	 4.19	 0.21	  0.15	-5.01	 7.1	 4.8	 4.9	 -68.4	299	 0.01	 0.01	 2	 0.23	16 25 44.5	+11 55 09	 8.23	 72.05	 0.33	 0.07	 1.34	 0.10	  1.00	  0.20	 1.21	 4.32	 0.06	 2.4	  1	Simbad
2930	HD 148284     	5572	 3.97	 0.15	  0.14	-5.14	 4.4	 1.7	 4.0	 -36.7	349	 0.01	 0.01	 1	 0.16	16 25 48.4	+30 15 54	 9.01	 94.07	 0.28	 0.09	 1.48	 0.16	  0.74	  0.18	 1.07	 4.06	 0.06	 8.7	  1	Simbad
2931	HD 149026     	6084	 4.24	 0.32	  0.15	-5.04	 7.8	 5.4	 5.2	 -17.0	382	 0.01	 0.01	 4	 0.35	16 30 29.6	+38 20 50	 8.15	 79.43	 0.44	 0.05	 1.50	 0.09	  1.42	  0.24	 1.30	 4.23	 0.06	 2.2	  1	Simbad
2932	HD 150706     	5948	 4.53	-0.01	  0.32	-4.44	 5.5	 3.2	 4.4	 -16.0	251	 0.01	 0.01	 1	 0.02	16 31 17.6	+79 47 23	 7.01	 28.22	 0.01	 0.02	 0.96	 0.03	  1.13	  0.15	 1.06	 4.48	 0.02	 1.1	  1	Simbad
2933	HD 234314     	5566	 4.09	 0.15	  0.17	-4.99	 3.6	 2.2	 2.8	 -24.6	308	 0.01	 0.01	 1	 0.14	16 32 31.7	+50 11 03	 9.31	106.50	 0.27	 0.09	 1.47	 0.15	  0.96	  0.23	 1.06	 4.07	 0.06	 8.8	  1	Simbad
2934	HD 149143     	5856	 4.11	 0.28	  0.18	-4.91	 5.6	 3.9	 3.9	   7.9	244	 0.01	 0.01	 2	 0.29	16 32 51.0	+02 05 05	 7.89	 62.03	 0.35	 0.05	 1.44	 0.08	  0.98	  0.16	 1.20	 4.19	 0.06	 4.3	  1	Simbad
2935	HD 149750     	5801	 4.14	 0.18	  0.16	-4.99	 4.6	 2.8	 3.6	  12.8	303	 0.01	 0.01	 1	 0.19	16 35 14.6	+37 01 20	 8.58	 79.74	 0.29	 0.05	 1.39	 0.09	  0.97	  0.17	 1.15	 4.21	 0.05	 5.3	  1	Simbad
2936	HD 151504     	5444	 4.40	 0.07	  0.17	-4.96	 2.7	 0.8	 2.5	 -75.7	314	 0.01	 0.01	 1	 0.06	16 48 32.2	-19 17 16	 8.08	 38.62	-0.11	 0.04	 0.99	 0.05	  0.90	  0.14	 0.93	 4.42	 0.05	 9.1	  1	Simbad
2937	HD 152125     	5688	 4.40	 0.09	  0.18	-4.92	 3.9	 2.1	 3.2	 -27.5	301	 0.01	 0.01	 1	 0.09	16 48 36.1	+55 07 46	 8.92	 64.31	-0.02	 0.04	 1.01	 0.05	  0.92	  0.15	 1.03	 4.45	 0.04	 3.5	  1	Simbad
2938	EPIC205071984 	5274	 4.49	-0.04	  0.13	     	 2.4	 0.7	 2.1	  -4.4	 81	 0.02	 0.02	 2	-0.03	16 49 42.3	-19 32 34	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2939	HD 152733     	4834	 3.10	 0.11	  0.14	-5.25	 3.8	 1.5	 3.4	 -28.9	269	 0.01	 0.02	 1	 0.15	16 52 57.2	+44 24 09	 8.10	144.51	 1.11	 0.06	 5.12	 0.39	  1.20	  0.23	 1.33	 3.14	 0.07	 4.3	  1	Simbad
2940	HD 152581     	5027	 3.29	-0.23	  0.15	-5.14	 3.9	 1.5	 3.4	   3.7	255	 0.01	 0.02	 1	-0.22	16 53 43.6	+11 58 25	 8.38	185.53	 1.18	 0.16	 5.14	 0.93	  1.85	  0.70	 1.30	 3.17	 0.12	 3.8	  1	Simbad
2941	HD 153525     	4826	 4.54	-0.05	  0.54	-4.57	 3.1	 2.5	 1.7	  -6.8	279	 0.01	 0.02	 1	 0.02	16 57 42.4	+47 21 39	 7.93	 17.80	-0.63	 0.02	 0.69	 0.02	  0.60	  0.08	 0.76	 4.63	 0.02	 6.4	  1	Simbad
2942	HD 154325     	5815	 4.26	 0.12	  0.18	-4.89	 4.5	 2.4	 3.7	 -30.6	298	 0.01	 0.01	 1	 0.12	17 02 42.0	+44 38 13	 8.51	 64.27	 0.14	 0.04	 1.15	 0.06	  0.88	  0.14	 1.09	 4.37	 0.05	 4.0	  1	Simbad
2943	HD 154144     	6079	 4.23	 0.32	  0.19	-4.82	10.4	 8.1	 5.2	 -20.1	338	 0.01	 0.01	 1	 0.36	17 03 25.5	+09 01 28	 8.18	 81.63	 0.46	 0.07	 1.52	 0.12	  1.42	  0.29	 1.29	 4.25	 0.07	 2.2	  1	Simbad
2944	HD 155456     	5224	 4.43	 0.23	  0.16	-5.07	 2.7	 1.6	 2.1	 -61.3	370	 0.01	 0.01	 1	 0.25	17 10 37.6	+24 31 57	 8.33	 36.25	-0.24	 0.04	 0.93	 0.04	  0.83	  0.13	 0.89	 4.47	 0.04	 9.6	  1	Simbad
2945	HD 155413     	5740	 3.79	 0.22	  0.17	-4.98	 6.5	 4.6	 4.4	 -22.2	345	 0.01	 0.01	 1	 0.27	17 11 58.6	-14 37 13	 7.25	 81.30	 0.84	 0.05	 2.67	 0.17	  1.58	  0.27	 1.46	 3.74	 0.04	 3.5	  1	Simbad
2946	HD 156279     	5420	 4.41	 0.13	  0.17	-4.98	 3.1	 1.8	 2.4	 -21.8	278	 0.01	 0.01	 3	 0.14	17 12 23.2	+63 21 08	 8.07	 36.60	-0.15	 0.02	 0.96	 0.03	  0.86	  0.12	 0.94	 4.45	 0.04	 7.3	  1	Simbad
2947	HD 155712     	4911	 4.52	-0.07	  0.21	-4.95	 1.8	 0.2	 1.7	  19.5	292	 0.01	 0.02	 3	-0.07	17 12 37.6	+18 21 04	 7.95	 20.96	-0.51	 0.03	 0.77	 0.03	  0.71	  0.10	 0.77	 4.59	 0.02	11.1	  1	Simbad
2948	HD 156342     	5820	 4.08	 0.30	  0.16	-4.98	 5.2	 3.5	 3.7	 -64.3	306	 0.01	 0.01	 1	 0.32	17 16 33.2	+14 40 26	 8.28	 83.82	 0.45	 0.08	 1.66	 0.15	  1.20	  0.26	 1.25	 4.07	 0.06	 4.7	  1	Simbad
2949	HD 156846     	5998	 4.01	 0.20	  0.15	-5.08	 6.6	 4.3	 4.7	 -69.0	249	 0.01	 0.01	 2	 0.24	17 20 34.3	-19 20 01	 6.50	 47.62	 0.66	 0.03	 1.98	 0.07	  1.46	  0.20	 1.36	 3.97	 0.03	 3.8	  1	Simbad
2950	HD 158449     	4967	 3.22	-0.14	  0.15	-5.14	 3.6	 0.6	 3.4	 -27.0	256	 0.01	 0.01	 1	-0.13	17 29 09.5	+06 08 54	 8.03	158.48	 1.20	 0.11	 5.34	 0.70	  1.73	  0.50	 1.33	 3.12	 0.10	 3.7	  1	Simbad
2951	HD 159062     	5350	 4.54	-0.32	  0.17	-4.98	 2.6	 0.7	 2.3	 -83.0	347	 0.01	 0.01	 3	-0.41	17 30 16.4	+47 24 08	 7.22	 22.27	-0.23	 0.02	 0.89	 0.03	  1.01	  0.14	 0.82	 4.47	 0.02	13.0	  1	Simbad
2952	HIP 85977     	4911	 4.37	 0.29	  0.19	-5.33	 2.8	 2.1	 1.7	 -96.2	173	 0.01	 0.02	 1	 0.33	17 34 19.4	+46 56 41	 8.65	 33.08	-0.40	 0.03	 0.88	 0.04	  0.66	  0.10	 0.82	 4.52	 0.03	12.6	  1	Simbad
2953	HD 160215     	4883	 3.39	 0.04	  0.14	-5.20	 3.4	 0.1	 3.4	 -60.9	264	 0.01	 0.02	 1	 0.07	17 36 31.7	+44 43 24	 8.18	110.13	 0.84	 0.06	 3.65	 0.26	  1.19	  0.22	 1.15	 3.37	 0.07	 6.8	  1	Simbad
2954	HD 161284     	5011	 4.50	 0.05	  0.54	-4.48	 3.0	 2.4	 1.8	  -7.0	265	 0.01	 0.02	 1	 0.12	17 39 55.7	+65 00 06	 8.39	 26.34	-0.51	 0.02	 0.74	 0.02	  0.63	  0.09	 0.82	 4.60	 0.03	 4.9	  1	Simbad
2955	HD 162003     	6411	 3.95	 0.01	  0.14	-5.12	14.9	 9.6	10.2	  -3.8	252	 0.01	 0.01	 2	 0.07	17 41 56.4	+72 08 56	 4.57	 22.84	 0.79	 0.02	 2.00	 0.06	  1.30	  0.17	 1.46	 3.97	 0.03	 2.6	  0	Simbad
2956	HD 162004     	6223	 4.12	 0.04	  0.14	-5.07	10.8	 7.3	 7.1	  -9.2	250	 0.01	 0.01	 4	 0.07	17 41 58.1	+72 09 25	 5.81	 23.06	 0.31	 0.02	 1.22	 0.04	  0.72	  0.10	 1.21	 4.34	 0.02	 1.8	  0	Simbad
2957	HD 161198     	5254	 4.58	-0.35	  0.15	-5.09	 1.9	 0.1	 2.1	  21.2	255	 0.01	 0.01	 1	-0.43	17 43 15.6	+21 36 33	 7.51	 22.65	-0.32	 0.03	 0.83	 0.03	  0.95	  0.13	 0.79	 4.52	 0.02	12.5	  0	Simbad
2958	HD 161479     	5641	 4.31	 0.26	  0.36	-4.50	 5.6	 4.5	 3.0	 -38.4	274	 0.01	 0.01	 1	 0.29	17 45 02.9	+19 17 26	 8.14	 47.57	 0.03	 0.04	 1.08	 0.06	  0.88	  0.14	 1.06	 4.41	 0.04	 3.9	  1	Simbad
2959	HIP 87123     	4792	 3.15	-0.04	  0.14	-5.23	 3.6	 1.1	 3.4	 -67.1	267	 0.01	 0.02	 1	-0.08	17 48 01.1	+32 39 21	 8.35	141.04	 1.00	 0.08	 4.57	 0.42	  1.07	  0.24	 1.00	 3.11	 0.08	10.8	  1	Simbad
2960	HD 162232     	5491	 4.35	 0.13	  0.20	-4.83	 3.5	 2.2	 2.6	 -73.1	312	 0.01	 0.01	 1	 0.14	17 49 57.1	+00 30 43	 8.59	 67.43	 0.17	 0.05	 1.34	 0.08	  1.47	  0.26	 0.99	 4.13	 0.05	11.3	  1	Simbad
2961	TrES-3        	5489	 4.60	-0.24	  0.31	-4.54	 3.8	 2.6	 2.6	   9.7	 98	 0.01	 0.01	 2	-0.24	17 52 07.0	+37 32 46	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2962	TrES-4        	6184	 4.03	 0.25	  0.14	-5.09	11.2	 8.4	 6.1	 -17.6	182	 0.01	 0.01	 1	 0.32	17 53 13.1	+37 12 42	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2963	HIP 87579     	4893	 4.52	-0.10	  0.49	-4.54	 3.8	 3.3	 1.7	 -14.5	275	 0.01	 0.02	 1	-0.04	17 53 29.9	+21 19 31	 8.50	 24.35	-0.60	 0.03	 0.70	 0.03	  0.59	  0.08	 0.76	 4.63	 0.03	 7.1	  0	Simbad
2964	HD 163607     	5522	 3.97	 0.18	  0.16	-5.01	 3.9	 0.3	 3.9	 -11.0	269	 0.01	 0.01	 3	 0.19	17 53 40.5	+56 23 31	 8.00	 68.82	 0.42	 0.03	 1.76	 0.07	  1.05	  0.15	 1.12	 3.99	 0.03	 7.8	  1	Simbad
2965	HD 163589     	5621	 3.99	 0.19	  0.15	-5.06	 4.1	 0.5	 4.1	 -39.8	303	 0.01	 0.01	 1	 0.21	17 54 40.1	+45 33 15	 7.68	 60.61	 0.43	 0.03	 1.72	 0.07	  1.04	  0.15	 1.14	 4.01	 0.03	 7.1	  1	Simbad
2966	HD 164330     	5783	 4.19	 0.26	  0.18	-4.93	 7.7	 6.4	 3.5	 -17.2	301	 0.01	 0.01	 1	 0.26	17 56 20.1	+62 36 36	 7.72	 76.57	 0.60	 0.03	 1.99	 0.09	  2.22	  0.33	 1.28	 3.94	 0.03	 4.8	  1	Simbad
2967	HD 164509     	5859	 4.36	 0.18	  0.18	-4.89	 4.8	 2.6	 3.9	  13.7	263	 0.01	 0.01	 3	 0.19	18 01 31.2	+00 06 16	 8.10	 52.44	 0.12	 0.05	 1.11	 0.06	  1.02	  0.17	 1.12	 4.41	 0.04	 2.3	  1	Simbad
2968	HD 165173     	5459	 4.46	 0.00	  0.16	-5.03	 3.0	 1.4	 2.5	  -0.9	358	 0.01	 0.01	 1	-0.01	18 04 26.4	+06 26 11	 7.96	 31.92	-0.23	 0.03	 0.86	 0.03	  0.78	  0.11	 0.93	 4.52	 0.03	 4.0	  1	Simbad
2969	GJ 702 A      	5307	 4.52	 0.04	  0.34	-4.59	 3.4	 2.6	 2.2	  -6.6	312	 0.01	 0.01	 4	 0.07	18 05 27.4	+02 30 00	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2970	HD 165401     	5947	 4.83	-0.29	  0.23	-4.66	 3.9	 0.1	 4.4	-113.9	344	 0.02	 0.02	 1	-0.36	18 05 37.5	+04 39 26	 6.80	 23.91	-0.04	 0.02	 0.90	 0.03	  1.99	  0.27	 0.99	 4.50	 0.02	 1.9	  1	Simbad
2971	HD 166494     	5679	 3.76	 0.22	  0.22	-4.78	 8.4	 6.6	 4.2	 -32.1	251	 0.01	 0.01	 1	 0.27	18 07 29.4	+56 48 07	 7.67	114.68	 0.98	 0.05	 3.18	 0.19	  2.13	  0.36	 1.59	 3.63	 0.04	 2.8	  1	Simbad
2972	HD 168151     	6474	 4.14	-0.19	  0.14	-5.12	10.3	 3.8	 9.6	 -36.5	255	 0.01	 0.01	 2	-0.18	18 13 53.8	+64 23 50	 4.99	 22.92	 0.63	 0.02	 1.64	 0.04	  1.35	  0.18	 1.28	 4.10	 0.02	 2.7	  0	Simbad
2973	HAT-P-5       	5833	 4.34	 0.11	  0.15	     	 4.5	 2.3	 3.8	   7.0	107	 0.01	 0.01	 1	 0.11	18 17 37.3	+36 37 17	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2974	HD 168603     	5422	 4.50	 0.13	  0.37	-4.49	 5.3	 4.5	 2.4	 -34.2	357	 0.01	 0.01	 1	 0.18	18 19 08.8	+33 13 53	 8.28	 36.74	-0.23	 0.03	 0.87	 0.03	  0.87	  0.12	 0.96	 4.52	 0.03	 2.9	  1	Simbad
2975	HD 169889     	5357	 4.50	-0.13	  0.19	-4.88	 2.5	 0.5	 2.3	 -18.2	359	 0.01	 0.01	 1	-0.14	18 26 21.9	+08 36 57	 8.32	 36.67	-0.24	 0.04	 0.88	 0.04	  0.89	  0.13	 0.86	 4.49	 0.04	 9.7	  1	Simbad
2976	HD 171264     	5195	 3.59	-0.01	  0.23	-4.81	 4.3	 2.4	 3.5	  11.3	257	 0.01	 0.01	 1	 0.03	18 33 40.7	+04 35 33	 8.09	119.90	 0.90	 0.08	 3.47	 0.33	  1.71	  0.38	 1.50	 3.55	 0.07	 2.7	  1	Simbad
2977	WASP-3        	6352	 4.21	-0.05	  0.17	     	16.9	13.1	 7.9	  -7.3	192	 0.01	 0.01	 1	-0.01	18 34 31.6	+35 39 42	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2978	HD 171238     	5440	 4.48	 0.17	  0.31	-4.58	 3.2	 1.9	 2.5	  20.6	255	 0.01	 0.01	 1	 0.20	18 34 43.7	-28 04 20	 8.61	 50.28	-0.09	 0.05	 1.01	 0.07	  1.11	  0.20	 0.96	 4.42	 0.06	 7.6	  1	Simbad
2979	HIP 91605     	4841	 4.55	-0.30	  0.24	-4.82	 1.7	 0.1	 1.7	  27.7	272	 0.01	 0.02	 1	-0.33	18 40 54.9	+31 32 00	 8.54	 23.54	-0.63	 0.03	 0.68	 0.03	  0.61	  0.09	 0.71	 4.65	 0.02	 9.3	  0	Simbad
2980	Kepler-94     	4715	 4.49	 0.32	  0.46	-4.62	 1.9	 0.8	 1.6	 -52.5	150	 0.02	 0.03	 1	 0.41	18 44 46.7	+47 29 50	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2981	KOI-263       	5842	 4.08	-0.11	  0.12	     	 4.3	 1.9	 3.8	   0.3	244	 0.01	 0.01	 1	-0.12	18 45 05.8	+47 46 28	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2982	Kepler-8      	6179	 4.09	-0.06	  0.16	-4.98	12.9	 9.8	 6.4	 -51.1	 77	 0.03	 0.03	 3	-0.02	18 45 09.1	+42 27 04	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
